order_id,product_type,region,sales_rep,units_sold,unit_price,sale_date
1087,Substation,West,Lisa,25,13241,2024-04-27
1088,Switchgear,North,Carlos,5,9675,2024-06-18
1089,Substation,South,Lisa,12,9907,2024-06-02
1090,Dry-Type,South,Noah,11,9956,2024-03-23
1091,Dry-Type,North,Mary,18,10210,2024-04-27
1092,Padmount,West,Mary,20,9458,2024-01-11
1093,Padmount,South,Carlos,11,8622,2024-03-16
1094,Dry-Type,West,John,12,12712,2024-03-06
1095,Oil-Insulated,South,Mary,21,8344,2024-05-14
1096,Switchgear,West,Lisa,8,11187,2024-04-12
1097,Dry-Type,East,Ava,4,10210,2024-04-20
1098,Oil-Insulated,North,Noah,22,13304,2024-05-15
1099,Dry-Type,East,Mary,8,12534,2024-06-11
1100,Cast Resin,West,Ava,24,11440,2024-02-23
1101,Cast Resin,East,Noah,21,14419,2024-03-16
1102,Switchgear,West,Mary,13,10271,2024-02-20
1103,Padmount,North,Lisa,3,14750,2024-02-13
1104,Oil-Insulated,East,Ava,2,13343,2024-04-15
1105,Three-Phase,South,John,12,13309,2024-01-27
1106,Substation,West,Mary,3,11667,2024-01-22
1107,Padmount,West,Noah,19,14508,2024-02-19
1108,Substation,South,Ava,13,9433,2024-05-21
1109,Substation,South,Mary,3,11310,2024-03-15
1110,Dry-Type,North,Mary,17,10487,2024-05-01
1111,Switchgear,North,Carlos,2,13265,2024-04-01
1112,Padmount,West,Lisa,19,14524,2024-02-11
1113,Oil-Insulated,North,Carlos,7,10238,2024-04-13
1114,Three-Phase,East,Mary,17,9468,2024-04-13
1115,Substation,North,Noah,18,11426,2024-06-15
1116,Substation,West,John,4,8092,2024-02-04
1117,Oil-Insulated,North,Carlos,11,11198,2024-03-25
1118,Switchgear,East,John,16,8083,2024-04-02
1119,Oil-Insulated,North,Mary,1,14794,2024-06-10
1120,Three-Phase,North,Ava,6,10362,2024-06-02
1121,Switchgear,West,Ava,11,10060,2024-02-15
1122,Switchgear,South,Ava,4,10186,2024-04-05
1123,Padmount,North,Lisa,12,11005,2024-06-06
1124,Substation,North,Lisa,15,9338,2024-03-13
1125,Substation,North,Mary,15,8191,2024-04-05
1126,Switchgear,North,Lisa,19,11353,2024-05-16
1127,Oil-Insulated,South,Carlos,14,11512,2024-01-30
1128,Oil-Insulated,North,Ava,15,14452,2024-01-16
1129,Padmount,North,Carlos,18,7907,2024-04-19
1130,Switchgear,North,Ava,4,13275,2024-01-01
1131,Substation,West,Ava,23,12130,2024-02-02
1132,Cast Resin,East,Noah,22,8810,2024-06-18
1133,Substation,North,Noah,19,9430,2024-06-18
1134,Dry-Type,East,John,25,14198,2024-04-12
1135,Switchgear,East,John,3,10469,2024-01-06
1136,Dry-Type,South,Ava,11,12166,2024-03-16
1137,Switchgear,West,Mary,19,11212,2024-02-12
1138,Dry-Type,West,Ava,4,9535,2024-01-22
1139,Oil-Insulated,West,John,12,9790,2024-01-02
1140,Dry-Type,North,Carlos,8,11175,2024-01-08
1141,Padmount,North,Mary,2,11397,2024-06-08
1142,Three-Phase,South,Noah,16,11964,2024-01-28
1143,Switchgear,West,Noah,5,12509,2024-02-17
1144,Oil-Insulated,South,Ava,9,12471,2024-03-02
1145,Switchgear,East,Noah,1,13792,2024-05-07
1146,Padmount,West,Noah,20,14363,2024-02-16
1147,Cast Resin,North,Mary,14,12211,2024-04-23
1148,Dry-Type,East,Ava,5,14375,2024-05-06
1149,Three-Phase,West,Lisa,8,14090,2024-05-06
1150,Three-Phase,South,John,21,10955,2024-02-04
1151,Three-Phase,North,John,12,10383,2024-02-11
1152,Three-Phase,East,Lisa,18,14099,2024-02-02
1153,Dry-Type,North,Lisa,23,14990,2024-04-12
1154,Substation,South,John,25,9604,2024-05-21
1155,Substation,North,John,9,10287,2024-01-02
1156,Substation,West,Mary,13,12294,2024-02-02
1157,Cast Resin,West,John,4,9911,2024-03-16
1158,Cast Resin,East,Lisa,17,14881,2024-06-29
1159,Switchgear,East,Ava,23,11627,2024-06-07
1160,Oil-Insulated,North,Lisa,24,14553,2024-03-31
1161,Oil-Insulated,West,Lisa,5,12807,2024-04-07
1162,Substation,West,Noah,7,11022,2024-04-01
1163,Dry-Type,West,Lisa,5,14333,2024-06-01
1164,Dry-Type,East,Lisa,18,12990,2024-03-30
1165,Padmount,South,John,2,8595,2024-03-26
1166,Three-Phase,West,Noah,14,10597,2024-04-16
1167,Padmount,South,John,24,13487,2024-03-05
1168,Three-Phase,East,Carlos,18,13978,2024-06-26
1169,Padmount,West,Noah,23,14693,2024-06-14
1170,Padmount,South,Lisa,22,13394,2024-03-12
1171,Cast Resin,West,Carlos,7,10600,2024-03-10
1172,Switchgear,West,Ava,7,11331,2024-01-02
1173,Substation,West,Ava,17,14390,2024-06-19
1174,Cast Resin,North,Mary,21,7865,2024-02-01
1175,Oil-Insulated,North,Mary,8,13081,2024-02-13
1176,Substation,East,John,6,12306,2024-04-11
1177,Oil-Insulated,South,Carlos,7,12962,2024-01-31
1178,Dry-Type,West,Noah,3,11040,2024-01-15
1179,Padmount,North,Ava,8,13084,2024-06-20
1180,Cast Resin,South,Mary,11,14095,2024-04-16
1181,Three-Phase,West,Lisa,15,8168,2024-06-20
1182,Oil-Insulated,South,Mary,16,10294,2024-03-13
1183,Padmount,North,Lisa,18,13264,2024-03-09
1184,Switchgear,South,John,17,13946,2024-01-12
1185,Oil-Insulated,South,Mary,11,10736,2024-06-26
1186,Oil-Insulated,East,John,21,12350,2024-06-12
1187,Padmount,East,Lisa,23,14649,2024-02-10
1188,Cast Resin,North,Mary,14,11735,2024-01-20
1189,Cast Resin,East,Carlos,23,8177,2024-05-24
1190,Substation,North,Ava,12,11863,2024-02-05
1191,Substation,South,Carlos,23,8068,2024-03-17
1192,Three-Phase,South,Ava,24,9265,2024-03-22
1193,Substation,West,Noah,7,8502,2024-04-10
1194,Three-Phase,South,Ava,22,7134,2024-05-03
1195,Substation,West,Mary,15,11846,2024-04-19
1196,Switchgear,South,Lisa,5,11438,2024-06-07
1197,Cast Resin,North,John,7,14471,2024-04-16
1198,Switchgear,North,Ava,13,12160,2024-02-04
1199,Three-Phase,South,Noah,8,11468,2024-04-22
1200,Three-Phase,North,Lisa,9,14173,2024-05-18
1201,Three-Phase,North,Mary,23,9387,2024-04-01
1202,Switchgear,East,Ava,22,8512,2024-01-02
1203,Three-Phase,North,John,17,10614,2024-04-07
1204,Three-Phase,East,Noah,16,9936,2024-03-14
1205,Dry-Type,South,Noah,19,14375,2024-06-11
1206,Cast Resin,West,Lisa,21,13852,2024-04-06
1207,Dry-Type,East,Noah,23,11937,2024-04-07
1208,Padmount,South,Ava,13,8499,2024-01-24
1209,Cast Resin,North,Lisa,17,12485,2024-04-12
1210,Oil-Insulated,North,Lisa,19,9476,2024-01-12
1211,Oil-Insulated,South,Noah,14,7015,2024-02-09
1212,Oil-Insulated,North,Lisa,9,10487,2024-05-25
1213,Three-Phase,West,Mary,5,11684,2024-01-29
1214,Dry-Type,East,Noah,25,13054,2024-05-07
1215,Oil-Insulated,East,John,20,14149,2024-04-13
1216,Padmount,North,Mary,1,9185,2024-06-07
1217,Switchgear,East,Noah,15,14275,2024-02-13
1218,Three-Phase,South,Lisa,3,14828,2024-06-02
1219,Substation,West,Lisa,11,9455,2024-03-09
1220,Cast Resin,East,Lisa,14,7143,2024-05-27
1221,Three-Phase,West,Mary,20,13988,2024-06-18
1222,Padmount,East,Mary,5,13220,2024-03-04
1223,Substation,South,John,4,10566,2024-03-12
1224,Cast Resin,North,Lisa,9,13615,2024-04-19
1225,Substation,North,John,11,10332,2024-05-09
1226,Padmount,North,Mary,2,14896,2024-02-12
1227,Switchgear,North,John,9,13628,2024-04-24
1228,Substation,East,Ava,6,7264,2024-02-14
1229,Substation,East,John,14,13695,2024-01-19
1230,Three-Phase,East,Lisa,23,9166,2024-06-19
1231,Dry-Type,West,Mary,13,8111,2024-05-12
1232,Padmount,North,Noah,4,7423,2024-02-01
1233,Dry-Type,South,John,4,14175,2024-06-11
1234,Oil-Insulated,East,Lisa,21,7411,2024-03-16
1235,Three-Phase,South,John,17,9721,2024-04-22
1236,Three-Phase,West,Noah,23,10496,2024-01-04
1237,Switchgear,South,Ava,17,9022,2024-03-25
1238,Oil-Insulated,South,Mary,25,14327,2024-01-31
1239,Three-Phase,South,John,16,14185,2024-03-02
1240,Dry-Type,North,Mary,21,11122,2024-01-18
1241,Oil-Insulated,North,Mary,15,9564,2024-05-25
1242,Oil-Insulated,East,Ava,3,8127,2024-04-10
1243,Dry-Type,West,Ava,22,11311,2024-02-13
1244,Switchgear,North,John,6,11810,2024-02-27
1245,Switchgear,North,Ava,18,12477,2024-01-16
1246,Oil-Insulated,West,Noah,9,9032,2024-02-24
1247,Switchgear,West,Noah,12,10018,2024-05-22
1248,Oil-Insulated,South,Ava,17,14467,2024-06-06
1249,Three-Phase,South,Lisa,9,9655,2024-04-10
1250,Dry-Type,North,Mary,16,9240,2024-04-12
1251,Padmount,East,John,8,7190,2024-01-13
1252,Substation,East,Noah,17,11809,2024-02-22
1253,Oil-Insulated,East,Carlos,16,8552,2024-01-04
1254,Switchgear,West,John,18,9710,2024-01-27
1255,Dry-Type,East,John,18,8724,2024-06-22
1256,Switchgear,West,Ava,1,13825,2024-04-11
1257,Switchgear,South,Ava,19,10657,2024-04-10
1258,Oil-Insulated,West,John,12,9515,2024-06-14
1259,Three-Phase,West,Carlos,19,10021,2024-04-12
1260,Dry-Type,West,John,24,12522,2024-04-01
1261,Cast Resin,West,Lisa,15,8122,2024-06-22
1262,Substation,East,Noah,7,11914,2024-05-12
1263,Dry-Type,North,Carlos,13,10222,2024-06-25
1264,Cast Resin,South,Lisa,7,7090,2024-05-12
1265,Dry-Type,West,Mary,5,14798,2024-03-23
1266,Oil-Insulated,North,Ava,15,14636,2024-06-03
1267,Substation,West,John,16,14808,2024-03-05
1268,Cast Resin,South,Mary,20,10258,2024-04-30
1269,Substation,West,Carlos,21,12469,2024-04-06
1270,Padmount,North,John,1,8328,2024-05-27
1271,Three-Phase,East,Carlos,1,8970,2024-01-30
1272,Padmount,South,Ava,3,10920,2024-03-18
1273,Three-Phase,West,Ava,10,13208,2024-04-22
1274,Substation,East,Noah,8,9665,2024-03-01
1275,Three-Phase,West,Ava,23,7411,2024-01-20
1276,Switchgear,East,Mary,10,14102,2024-06-27
1277,Dry-Type,South,Carlos,25,7242,2024-02-05
1278,Substation,South,John,7,8429,2024-04-25
1279,Oil-Insulated,East,Lisa,24,7828,2024-06-22
1280,Dry-Type,East,Mary,19,10381,2024-02-18
1281,Dry-Type,East,Ava,14,10402,2024-02-19
1282,Substation,South,Carlos,22,12620,2024-01-09
1283,Padmount,East,Lisa,6,9879,2024-02-16
1284,Substation,East,Ava,6,14038,2024-05-12
1285,Dry-Type,West,Noah,10,13798,2024-04-20
1286,Three-Phase,East,Noah,18,14096,2024-02-23
1287,Padmount,South,Carlos,2,13852,2024-03-23
1288,Dry-Type,South,Mary,10,13838,2024-06-16
1289,Three-Phase,South,Noah,13,7004,2024-03-10
1290,Switchgear,West,Noah,21,8183,2024-04-03
1291,Padmount,South,Mary,22,11997,2024-04-10
1292,Oil-Insulated,East,Ava,17,11482,2024-05-05
1293,Padmount,East,Carlos,17,11169,2024-04-09
1294,Dry-Type,South,John,1,14397,2024-05-09
1295,Switchgear,North,Mary,12,13076,2024-03-17
1296,Three-Phase,West,John,13,8182,2024-02-01
1297,Cast Resin,East,Ava,6,7214,2024-06-28
1298,Three-Phase,North,Carlos,3,13866,2024-06-25
1299,Cast Resin,East,Noah,5,14312,2024-01-09
1300,Dry-Type,West,Ava,18,13099,2024-06-15
1301,Switchgear,North,Noah,14,8717,2024-04-08
1302,Padmount,East,Mary,5,12397,2024-04-02
1303,Substation,South,John,3,10476,2024-04-04
1304,Three-Phase,North,Ava,15,9556,2024-04-01
1305,Three-Phase,North,Carlos,12,14077,2024-01-30
1306,Oil-Insulated,North,Noah,10,10586,2024-02-26
1307,Padmount,East,Mary,14,8894,2024-04-30
1308,Cast Resin,West,Mary,9,11595,2024-04-17
1309,Cast Resin,South,Carlos,14,8496,2024-03-01
1310,Switchgear,South,Lisa,6,10434,2024-05-23
1311,Three-Phase,South,Mary,19,12753,2024-01-27
1312,Switchgear,South,Mary,9,13482,2024-06-01
1313,Substation,West,Carlos,7,13936,2024-02-25
1314,Oil-Insulated,West,Ava,10,14905,2024-03-30
1315,Cast Resin,West,Ava,6,12155,2024-01-26
1316,Switchgear,East,Mary,23,8349,2024-02-22
1317,Oil-Insulated,North,Ava,6,9000,2024-03-13
1318,Oil-Insulated,West,Lisa,11,14287,2024-03-12
1319,Cast Resin,East,Lisa,7,12070,2024-05-25
1320,Cast Resin,West,Ava,25,10417,2024-01-23
1321,Three-Phase,North,John,13,10564,2024-03-04
1322,Padmount,East,Carlos,5,9019,2024-02-14
1323,Substation,South,Mary,9,14694,2024-02-18
1324,Three-Phase,North,John,19,9316,2024-04-08
1325,Three-Phase,North,Lisa,18,13344,2024-03-07
1326,Oil-Insulated,East,John,25,8343,2024-03-23
1327,Three-Phase,North,Mary,21,13038,2024-01-30
1328,Switchgear,East,Lisa,1,11393,2024-02-27
1329,Dry-Type,West,John,9,14859,2024-03-20
1330,Cast Resin,West,Ava,12,14998,2024-06-09
1331,Switchgear,West,Ava,7,7427,2024-04-09
1332,Switchgear,West,Lisa,2,11624,2024-05-28
1333,Dry-Type,North,Noah,10,10384,2024-06-23
1334,Padmount,North,Lisa,11,8547,2024-02-11
1335,Three-Phase,West,John,15,7174,2024-01-25
1336,Padmount,West,Carlos,7,14469,2024-02-10
1337,Three-Phase,East,John,4,9585,2024-01-08
1338,Padmount,East,Carlos,15,11101,2024-01-30
1339,Oil-Insulated,South,Lisa,20,8345,2024-03-20
1340,Oil-Insulated,East,Mary,25,11617,2024-06-26
1341,Three-Phase,West,Mary,18,9729,2024-01-05
1342,Oil-Insulated,East,Carlos,23,11264,2024-03-17
1343,Dry-Type,East,Noah,16,7389,2024-05-29
1344,Padmount,East,Lisa,24,8526,2024-05-07
1345,Switchgear,South,Ava,8,8607,2024-06-21
1346,Three-Phase,North,Noah,3,10954,2024-05-03
1347,Three-Phase,West,Noah,17,14915,2024-02-16
1348,Oil-Insulated,South,Mary,7,14948,2024-06-07
1349,Padmount,East,Noah,25,14225,2024-02-03
1350,Cast Resin,North,John,14,12442,2024-03-17
1351,Substation,West,Ava,3,13918,2024-06-24
1352,Dry-Type,South,John,5,11032,2024-01-29
1353,Cast Resin,East,Lisa,8,7592,2024-04-16
1354,Padmount,East,Noah,1,13742,2024-04-26
1355,Cast Resin,North,Carlos,1,9672,2024-04-13
1356,Three-Phase,West,Carlos,13,13439,2024-04-03
1357,Substation,East,Lisa,3,10680,2024-06-19
1358,Substation,South,Carlos,11,9938,2024-06-26
1359,Switchgear,North,Ava,24,10097,2024-05-14
1360,Substation,South,Carlos,10,11393,2024-01-19
1361,Dry-Type,South,John,22,12530,2024-03-06
1362,Dry-Type,North,Carlos,10,14566,2024-05-05
1363,Switchgear,East,Carlos,9,10802,2024-05-02
1364,Switchgear,East,Lisa,7,8601,2024-04-06
1365,Substation,North,Noah,16,10866,2024-05-29
1366,Oil-Insulated,West,Lisa,7,14497,2024-06-03
1367,Switchgear,North,Carlos,23,11552,2024-03-17
1368,Padmount,South,Mary,20,11810,2024-01-30
1369,Switchgear,South,Carlos,16,10967,2024-06-28
1370,Three-Phase,South,John,12,11861,2024-01-25
1371,Padmount,North,Carlos,5,12793,2024-01-02
1372,Switchgear,North,Lisa,8,9514,2024-01-31
1373,Oil-Insulated,East,Mary,1,14749,2024-04-01
1374,Dry-Type,East,Lisa,25,14930,2024-06-10
1375,Padmount,West,Noah,21,8826,2024-01-10
1376,Three-Phase,East,Mary,8,7923,2024-04-05
1377,Substation,South,Noah,19,8785,2024-04-03
1378,Dry-Type,East,John,22,10072,2024-01-29
1379,Substation,South,Noah,24,8036,2024-06-28
1380,Cast Resin,East,Noah,7,9648,2024-01-31
1381,Dry-Type,North,Carlos,3,14829,2024-01-10
1382,Substation,East,Mary,2,8376,2024-05-30
1383,Three-Phase,South,Noah,4,11821,2024-06-21
1384,Switchgear,East,Carlos,12,14114,2024-01-03
1385,Oil-Insulated,North,Ava,13,12498,2024-04-11
1386,Switchgear,North,Noah,22,9010,2024-01-22
1387,Dry-Type,North,Carlos,21,11630,2024-02-12
1388,Oil-Insulated,West,John,4,11217,2024-03-09
1389,Cast Resin,East,Ava,2,9655,2024-04-26
1390,Switchgear,North,Noah,16,8695,2024-04-13
1391,Substation,North,John,13,8545,2024-05-14
1392,Switchgear,South,Noah,22,7337,2024-01-08
1393,Cast Resin,North,John,8,7996,2024-04-11
1394,Cast Resin,South,Carlos,2,7327,2024-01-03
1395,Switchgear,East,Mary,14,11617,2024-04-09
1396,Padmount,East,Ava,21,9184,2024-05-17
1397,Substation,North,Carlos,19,12592,2024-02-05
1398,Switchgear,West,Lisa,1,13689,2024-02-16
1399,Substation,West,Noah,1,14300,2024-04-21
1400,Oil-Insulated,South,Mary,23,10277,2024-04-05
1401,Padmount,South,John,22,9511,2024-04-10
1402,Cast Resin,West,Mary,16,9707,2024-06-10
1403,Substation,West,John,2,7150,2024-05-27
1404,Padmount,South,Ava,17,9215,2024-04-08
1405,Switchgear,East,Ava,15,7428,2024-03-04
1406,Three-Phase,East,Carlos,24,13087,2024-03-06
1407,Oil-Insulated,South,Noah,9,7695,2024-03-07
1408,Cast Resin,West,Mary,22,8890,2024-04-13
1409,Switchgear,East,John,16,13910,2024-04-16
1410,Substation,North,John,20,8212,2024-03-28
1411,Three-Phase,West,Ava,13,13984,2024-03-17
1412,Padmount,North,Noah,25,13226,2024-03-05
1413,Three-Phase,North,Carlos,17,13675,2024-02-06
1414,Cast Resin,South,John,9,7278,2024-03-03
1415,Switchgear,West,Lisa,8,8640,2024-01-24
1416,Three-Phase,West,Mary,9,11245,2024-03-05
1417,Padmount,North,Ava,19,14880,2024-03-10
1418,Substation,West,Noah,8,10467,2024-05-20
1419,Padmount,East,Ava,4,10156,2024-01-20
1420,Switchgear,South,Ava,7,14533,2024-04-17
1421,Three-Phase,East,Lisa,19,14213,2024-06-08
1422,Dry-Type,West,John,19,10047,2024-02-14
1423,Dry-Type,North,Noah,2,12302,2024-01-21
1424,Three-Phase,North,Ava,11,8049,2024-05-08
1425,Cast Resin,East,Ava,12,12669,2024-01-13
1426,Padmount,East,Mary,9,11395,2024-02-08
1427,Switchgear,South,John,22,7621,2024-03-08
1428,Padmount,West,Ava,6,13138,2024-01-31
1429,Cast Resin,North,Lisa,7,12174,2024-04-24
1430,Switchgear,West,Carlos,21,11315,2024-03-16
1431,Oil-Insulated,East,John,23,14530,2024-04-06
1432,Cast Resin,South,John,25,9026,2024-01-07
1433,Substation,East,John,12,14452,2024-02-24
1434,Oil-Insulated,East,Mary,11,14340,2024-02-29
1435,Substation,North,Ava,7,8444,2024-03-08
1436,Switchgear,East,Noah,21,9934,2024-06-12
1437,Three-Phase,North,John,18,10834,2024-03-15
1438,Substation,East,Lisa,4,10708,2024-03-16
1439,Cast Resin,North,Mary,16,8595,2024-03-04
1440,Dry-Type,South,John,1,14756,2024-03-02
1441,Three-Phase,East,Carlos,10,13544,2024-04-19
1442,Padmount,South,Carlos,13,10465,2024-01-19
1443,Three-Phase,West,John,3,8612,2024-01-25
1444,Substation,North,John,3,10481,2024-01-03
1445,Cast Resin,North,Carlos,17,11627,2024-06-12
1446,Cast Resin,East,Ava,19,13581,2024-04-21
1447,Padmount,South,Mary,1,8724,2024-05-18
1448,Switchgear,East,Ava,11,10159,2024-04-05
1449,Cast Resin,West,John,17,12047,2024-06-10
1450,Cast Resin,West,Lisa,1,11195,2024-04-04
1451,Three-Phase,South,Mary,24,9787,2024-03-14
1452,Switchgear,East,Ava,9,8929,2024-02-02
1453,Cast Resin,North,Lisa,15,8345,2024-02-13
1454,Switchgear,South,Ava,12,8483,2024-03-20
1455,Padmount,West,John,16,10645,2024-01-14
1456,Three-Phase,South,Mary,20,13866,2024-04-21
1457,Dry-Type,North,Mary,16,9871,2024-02-24
1458,Padmount,West,Ava,12,7363,2024-05-29
1459,Switchgear,North,Ava,8,14731,2024-03-05
1460,Substation,West,Mary,24,8311,2024-03-10
1461,Padmount,South,Lisa,3,13510,2024-01-09
1462,Dry-Type,North,Mary,16,8815,2024-06-03
1463,Padmount,West,Lisa,8,12279,2024-01-06
1464,Cast Resin,East,Ava,3,9066,2024-06-13
1465,Substation,South,John,6,10173,2024-01-21
1466,Three-Phase,South,John,6,14809,2024-04-09
1467,Cast Resin,West,Carlos,14,11960,2024-05-27
1468,Cast Resin,West,Noah,12,8055,2024-02-18
1469,Padmount,South,Mary,25,10099,2024-03-13
1470,Padmount,East,Noah,5,12083,2024-04-01
1471,Padmount,West,Carlos,10,11005,2024-02-21
1472,Oil-Insulated,North,Lisa,19,7365,2024-01-11
1473,Padmount,South,Noah,18,9621,2024-05-15
1474,Cast Resin,North,John,10,11992,2024-01-17
1475,Oil-Insulated,North,Mary,14,14684,2024-05-31
1476,Dry-Type,West,Ava,23,13313,2024-03-07
1477,Switchgear,North,Noah,20,14116,2024-06-02
1478,Dry-Type,South,Carlos,15,7056,2024-04-16
1479,Switchgear,East,Lisa,3,8196,2024-03-19
1480,Substation,North,Mary,15,8204,2024-02-06
1481,Padmount,East,John,11,13348,2024-05-26
1482,Substation,East,Ava,16,7048,2024-03-18
1483,Oil-Insulated,West,Carlos,3,13213,2024-06-10
1484,Switchgear,North,Carlos,10,7654,2024-06-27
1485,Oil-Insulated,South,Noah,14,14917,2024-04-04
1486,Substation,West,John,7,11108,2024-01-25
1487,Padmount,East,Mary,8,12118,2024-04-08
1488,Oil-Insulated,West,Carlos,13,11993,2024-04-03
1489,Substation,West,Noah,7,12427,2024-04-21
1490,Dry-Type,West,Lisa,5,8887,2024-02-20
1491,Three-Phase,West,Noah,6,11493,2024-05-09
1492,Dry-Type,South,Lisa,1,9316,2024-05-01
1493,Oil-Insulated,South,Carlos,5,12508,2024-06-16
1494,Dry-Type,East,Mary,19,13920,2024-01-09
1495,Cast Resin,East,Carlos,8,13175,2024-04-02
1496,Cast Resin,West,John,13,11122,2024-02-16
1497,Padmount,North,Noah,19,14715,2024-05-25
1498,Substation,West,John,13,13893,2024-03-05
1499,Dry-Type,West,John,2,10364,2024-06-13
1500,Three-Phase,East,Noah,11,14801,2024-04-20
1501,Cast Resin,North,Lisa,7,14202,2024-02-22
1502,Padmount,North,Ava,2,9777,2024-03-21
1503,Three-Phase,North,Noah,1,14120,2024-04-07
1504,Oil-Insulated,East,Noah,24,7433,2024-03-12
1505,Switchgear,West,Noah,23,13102,2024-02-20
1506,Dry-Type,East,Lisa,25,8201,2024-01-11
1507,Cast Resin,South,Mary,16,12873,2024-06-10
1508,Substation,North,Carlos,8,9096,2024-02-17
1509,Substation,West,Lisa,20,12984,2024-03-24
